Unnamed: 0,id,code_id_1,code_id_2,label,language
2748.0,2748,2141,2552,0,Java
,3293,4412,4413,1,C
2230.0,2230,2001,2013,1,Java
,3214,3221,3231,1,C
30.0,30,0,32,0,Java
1136.0,1136,1068,1153,1,Java
1872.0,1872,1408,1429,0,Java
806.0,806,303,822,0,Java
495.0,495,308,510,0,Java
1096.0,1096,1068,1113,1,Java
1813.0,1813,1408,1612,0,Java
,3916,3904,3979,1,C
2186.0,2186,1931,1968,0,Java
,3820,3824,3869,1,C
,3296,4418,4419,1,C
431.0,431,425,446,0,Java
2767.0,2767,2212,2571,0,Java
1159.0,1159,1068,1176,1,Java
,3152,3118,3163,1,C
256.0,256,199,262,1,Java
488.0,488,312,503,0,Java
529.0,529,312,544,0,Java
397.0,397,355,411,0,Java
1368.0,1368,1212,1382,0,Java
3013.0,3013,2792,2823,0,Java
,3472,3488,3499,1,C
632.0,632,306,648,0,Java
472.0,472,322,487,0,Java
,3899,3885,3961,1,C
426.0,426,306,441,0,Java
568.0,568,312,584,0,Java
161.0,161,109,165,0,Java
1849.0,1849,1408,1506,0,Java
2271.0,2271,2001,2054,0,Java
,3539,3556,3573,1,C
955.0,955,303,971,0,Java
81.0,81,0,83,0,Java
436.0,436,306,451,0,Java
2346.0,2346,2129,2130,1,Java
3016.0,3016,2792,2826,0,Java
1600.0,1600,1408,1586,0,Java
2430.0,2430,2137,2234,0,Java
318.0,318,306,330,0,Java
948.0,948,312,964,0,Java
1164.0,1164,1068,1181,1,Java
1912.0,1912,1408,1573,0,Java
3225.0,3225,2792,3035,0,Java
2924.0,2924,2669,2731,0,Java
,3957,3883,4020,1,C
2215.0,2215,1931,1997,0,Java
2607.0,2607,2168,2411,0,Java
,3134,3142,3143,1,C
,3468,3492,3493,1,C
3226.0,3226,2792,3036,0,Java
199.0,199,199,205,1,Java
2411.0,2411,2212,2213,0,Java
3084.0,3084,2792,2894,0,Java
1187.0,1187,1068,1204,1,Java
1504.0,1504,1408,1512,0,Java
3294.0,3294,2792,3104,0,Java
2504.0,2504,2179,2308,0,Java
1206.0,1206,1212,1224,0,Java
3262.0,3262,2790,3072,0,Java
1817.0,1817,1408,1521,0,Java
2797.0,2797,2162,2601,0,Java
171.0,171,109,175,0,Java
2809.0,2809,2212,2613,0,Java
,3298,4422,4423,1,C
1251.0,1251,1212,1270,1,Java
3043.0,3043,2792,2853,0,Java
963.0,963,312,979,0,Java
1208.0,1208,1212,1226,0,Java
3076.0,3076,2792,2886,0,Java
379.0,379,322,393,0,Java
,3877,3883,3938,1,C
1272.0,1272,1212,1290,0,Java
2577.0,2577,2160,2381,0,Java
862.0,862,303,878,0,Java
194.0,194,199,200,1,Java
65.0,65,4,67,0,Java
797.0,797,312,813,0,Java
,3164,3172,3178,1,C
1445.0,1445,1408,1460,0,Java
,4112,4167,4186,1,C
,4078,4141,4146,1,C
951.0,951,306,967,0,Java
2830.0,2830,2137,2634,0,Java
,4024,3896,4087,1,C
2546.0,2546,2179,2350,0,Java
,3491,3505,3520,1,C
,3832,3883,3884,1,C
101.0,101,4,104,0,Java
1553.0,1553,1408,1555,0,Java
,3936,3885,3999,1,C
1793.0,1793,1408,1715,0,Java
,3948,3904,4011,1,C
1287.0,1287,1212,1265,0,Java
392.0,392,306,406,0,Java
3056.0,3056,2792,2866,0,Java
2971.0,2971,2669,2778,0,Java
,3704,3617,3746,0,C
2840.0,2840,2644,2645,1,Java
,3927,3904,3990,1,C
2825.0,2825,2202,2629,0,Java
572.0,572,312,588,0,Java
1847.0,1847,1408,1746,0,Java
3236.0,3236,2790,3046,0,Java
682.0,682,310,698,0,Java
2944.0,2944,2669,2751,0,Java
,3898,3879,3960,1,C
2827.0,2827,2143,2631,0,Java
1256.0,1256,1212,1275,0,Java
1072.0,1072,1068,1089,1,Java
,3477,3490,3504,1,C
402.0,402,306,416,0,Java
567.0,567,308,583,1,Java
2239.0,2239,2001,2022,1,Java
2497.0,2497,2158,2301,0,Java
1117.0,1117,1068,1134,1,Java
2613.0,2613,2150,2417,1,Java
242.0,242,199,248,0,Java
,3640,3655,3682,0,C
1619.0,1619,1408,1601,0,Java
,3327,4480,4481,1,C
1282.0,1282,1212,1300,1,Java
,3770,3813,3814,1,C
,3577,3556,3612,1,C
,3774,3819,3820,1,C
2469.0,2469,2232,2273,0,Java
1984.0,1984,1408,1816,0,Java
2187.0,2187,1934,1969,0,Java
2300.0,2300,2001,2083,0,Java
1687.0,1687,1408,1644,0,Java
255.0,255,199,261,0,Java
2754.0,2754,2202,2558,0,Java
,3511,3486,3540,1,C
,4070,4105,4134,0,C
1753.0,1753,1408,1447,0,Java
,3706,3620,3748,0,C
1846.0,1846,1408,1745,0,Java
2381.0,2381,2160,2178,0,Java
2988.0,2988,2792,2797,0,Java
1737.0,1737,1408,1676,0,Java
,3372,4570,4571,1,C
,3623,3629,3665,1,C
1617.0,1617,1408,1599,0,Java
2798.0,2798,2158,2602,0,Java
909.0,909,306,925,0,Java
1390.0,1390,1402,1405,1,Java
386.0,386,312,400,0,Java
,3209,3221,3226,1,C
1505.0,1505,1408,1513,0,Java
,3362,4550,4551,1,C
3012.0,3012,2792,2822,0,Java
1482.0,1482,1408,1494,0,Java
3030.0,3030,2792,2840,0,Java
952.0,952,303,968,0,Java
687.0,687,306,703,1,Java
,3852,3904,3910,1,C
1929.0,1929,1408,1618,0,Java
1379.0,1379,1212,1393,0,Java
,3645,3620,3687,1,C
2308.0,2308,2001,2091,0,Java
400.0,400,322,414,0,Java
358.0,358,303,371,0,Java
2711.0,2711,2154,2515,0,Java
,3950,3879,4013,1,C
1150.0,1150,1068,1167,1,Java
,3292,4410,4411,1,C
2086.0,2086,1408,1596,0,Java
,3271,4368,4369,1,C
115.0,115,109,119,0,Java
1205.0,1205,1212,1223,0,Java
1447.0,1447,1408,1462,0,Java
25.0,25,0,27,0,Java
44.0,44,0,46,0,Java
2209.0,2209,1931,1991,0,Java
1011.0,1011,312,1027,0,Java
1297.0,1297,1212,1313,0,Java
,3794,3813,3843,1,C
2552.0,2552,2139,2356,0,Java
444.0,444,308,459,0,Java
393.0,393,306,407,0,Java
,4018,3881,4081,1,C
2284.0,2284,2001,2067,0,Java
2740.0,2740,2158,2544,0,Java
1326.0,1326,1212,1342,1,Java
2198.0,2198,1934,1980,1,Java
619.0,619,310,635,0,Java
134.0,134,109,138,1,Java
2980.0,2980,2669,2787,0,Java
1443.0,1443,1408,1458,0,Java
2171.0,2171,1931,1953,1,Java
1908.0,1908,1408,1433,0,Java
1777.0,1777,1408,1702,0,Java
2786.0,2786,2168,2590,0,Java
1761.0,1761,1408,1691,0,Java
